slug,label,codec,score,verdict,cutoff_freq,families,Rule1MP3Bitrate,Rule2Cutoff,Rule3SourceVsContainer,Rule424BitSuspect,Rule5HighVariance,Rule6HighQualityProtection,Rule7SilenceAnalysis,Rule8NyquistException,Rule10Consistency,Rule11CassetteDetection,Rule12MLClassifier,Rule13MDCTAlignment,_calculator
002-03-Hraach-Let-it-go,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
003-01-Thor-Dari-lullaby,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
001-11-Gilbert-B-caud-Le-bain-de-minuit,0,authentic,0,AUTHENTIC,21250.0,,0,0,0,0,0,0,,-30,,,0,0,
004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
005-17-Los-Seven-Del-Swing-Celoso,0,authentic,0,AUTHENTIC,20250.0,,0,0,0,0,0,0,,0,,,0,0,
010-06-Jon-Hassell-These-times,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
011-07-Ensemble-National-des-Percussions-de-Guin-e-K,0,authentic,0,AUTHENTIC,21000.0,,0,0,0,0,0,0,,-30,,,0,0,
008-06-The-Mebusas-Mr-bull-dog-original-45-version,0,authentic,102,SUSPICIOUS,19500.0,spectral,50,2,50,0,0,0,0,0,0,,0,,
009-03-Ilya-Beshevli-To-solitude,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
006-09-Mahmoud-Ahmed-Tezeta,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
007-07-Wax-Tailor-Positively-inclined-featuring-main,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro,0,authentic,0,AUTHENTIC,20500.0,,0,0,0,0,0,0,,0,,,0,0,
013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
016-03-Memory-Tapes-Green-knight,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
017-13-Cafe-Del-Mar-Submariner,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
014-26-Dock-Walsh-Bathe-in-that-beautiful-pool,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
015-08-Jos-Gonz-lez-Vissel,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
020-06-Bola-Tigantabame,0,authentic,0,AUTHENTIC,20500.0,,0,0,0,0,0,0,,0,,,0,0,
021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc,0,authentic,100,SUSPICIOUS,20500.0,spectral,50,0,50,0,0,0,0,0,0,,0,,
018-04-Bag-o-wire-Resovoir,0,authentic,0,AUTHENTIC,21750.0,,0,0,0,0,0,0,,-50,,,0,0,
019-04-Kohi-Jadu,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas,0,authentic,0,AUTHENTIC,21750.0,,0,0,0,0,0,0,,-50,,,0,0,
023-01-Yusef-Lateef-Buddy-and-lou,0,authentic,0,AUTHENTIC,21000.0,,0,0,0,0,0,0,,-30,,,0,0,
026-06-Oumou-Dioubat-Siyala,0,authentic,0,AUTHENTIC,20500.0,,0,0,0,0,0,0,,0,,,0,0,
027-01-Dimlite-Kitty-Cradle-Fog,0,authentic,0,AUTHENTIC,22050.0,,0,0,0,0,0,0,,-50,,,0,0,
