file,verdict,score,confidence,hires_verdict,evidence_families,engine_version,engine_sha
fd-exchange-v3-setA-r2-0001.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0002.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct|stereo|temporal,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0003.flac,SUSPICIOUS,72,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,spectral,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0004.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct|stereo|temporal,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0005.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|temporal,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0006.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0007.flac,WARNING,50,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0008.flac,FAKE_CERTAIN,115,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct|spectral|stereo,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0009.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0010.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|stereo|temporal,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0011.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0012.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|stereo|temporal,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0013.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0014.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0015.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0016.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct|stereo,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
fd-exchange-v3-setA-r2-0017.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.8,44e65b7fe0c1c5f313e48a9ac5eb7809bff0dcc4
