file,verdict
fd-exchange-v3-setA-r2-0001,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0002,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0003,AUTHENTIC
fd-exchange-v3-setA-r2-0004,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0005,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0006,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0007,-
fd-exchange-v3-setA-r2-0008,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0009,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0010,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0011,AUTHENTIC
fd-exchange-v3-setA-r2-0012,-
fd-exchange-v3-setA-r2-0013,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0014,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0015,-
fd-exchange-v3-setA-r2-0016,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0017,-
fd-exchange-v3-setA-r2-0018,-
fd-exchange-v3-setA-r2-0019,-
fd-exchange-v3-setA-r2-0020,-
fd-exchange-v3-setA-r2-0021,AUTHENTIC
fd-exchange-v3-setA-r2-0022,AUTHENTIC
fd-exchange-v3-setA-r2-0023,-
fd-exchange-v3-setA-r2-0024,-
fd-exchange-v3-setA-r2-0025,-
fd-exchange-v3-setA-r2-0026,-
fd-exchange-v3-setA-r2-0027,AUTHENTIC
fd-exchange-v3-setA-r2-0028,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0029,AUTHENTIC
fd-exchange-v3-setA-r2-0030,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0031,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0032,-
fd-exchange-v3-setA-r2-0033,-
fd-exchange-v3-setA-r2-0034,-
fd-exchange-v3-setA-r2-0035,-
fd-exchange-v3-setA-r2-0036,-
fd-exchange-v3-setA-r2-0037,-
fd-exchange-v3-setA-r2-0038,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0039,-
fd-exchange-v3-setA-r2-0040,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0041,-
fd-exchange-v3-setA-r2-0042,-
fd-exchange-v3-setA-r2-0043,AUTHENTIC
fd-exchange-v3-setA-r2-0044,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0045,-
fd-exchange-v3-setA-r2-0046,-
fd-exchange-v3-setA-r2-0047,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0048,-
fd-exchange-v3-setA-r2-0049,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0050,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0051,-
fd-exchange-v3-setA-r2-0052,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0053,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0054,-
fd-exchange-v3-setA-r2-0055,-
fd-exchange-v3-setA-r2-0056,-
fd-exchange-v3-setA-r2-0057,AUTHENTIC
fd-exchange-v3-setA-r2-0058,-
fd-exchange-v3-setA-r2-0059,AUTHENTIC
fd-exchange-v3-setA-r2-0060,AUTHENTIC
fd-exchange-v3-setA-r2-0061,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0062,-
fd-exchange-v3-setA-r2-0063,-
fd-exchange-v3-setA-r2-0064,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0065,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0066,AUTHENTIC
fd-exchange-v3-setA-r2-0067,AUTHENTIC
fd-exchange-v3-setA-r2-0068,-
fd-exchange-v3-setA-r2-0069,-
fd-exchange-v3-setA-r2-0070,-
fd-exchange-v3-setA-r2-0071,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0072,-
fd-exchange-v3-setA-r2-0073,-
fd-exchange-v3-setA-r2-0074,-
fd-exchange-v3-setA-r2-0075,-
fd-exchange-v3-setA-r2-0076,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0077,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0078,-
fd-exchange-v3-setA-r2-0079,-
fd-exchange-v3-setA-r2-0080,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0081,-
fd-exchange-v3-setA-r2-0082,AUTHENTIC
fd-exchange-v3-setA-r2-0083,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0084,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0085,AUTHENTIC
fd-exchange-v3-setA-r2-0086,-
fd-exchange-v3-setA-r2-0087,AUTHENTIC
fd-exchange-v3-setA-r2-0088,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0089,-
fd-exchange-v3-setA-r2-0090,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0091,-
fd-exchange-v3-setA-r2-0092,-
fd-exchange-v3-setA-r2-0093,AUTHENTIC
fd-exchange-v3-setA-r2-0094,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0095,-
fd-exchange-v3-setA-r2-0096,-
fd-exchange-v3-setA-r2-0097,AUTHENTIC
fd-exchange-v3-setA-r2-0098,-
fd-exchange-v3-setA-r2-0099,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0100,-
fd-exchange-v3-setA-r2-0101,-
fd-exchange-v3-setA-r2-0102,-
fd-exchange-v3-setA-r2-0103,AUTHENTIC
fd-exchange-v3-setA-r2-0104,-
fd-exchange-v3-setA-r2-0105,AUTHENTIC
fd-exchange-v3-setA-r2-0106,AUTHENTIC
fd-exchange-v3-setA-r2-0107,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0108,-
fd-exchange-v3-setA-r2-0109,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0110,AUTHENTIC
fd-exchange-v3-setA-r2-0111,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0112,-
fd-exchange-v3-setA-r2-0113,AUTHENTIC
fd-exchange-v3-setA-r2-0114,AUTHENTIC
fd-exchange-v3-setA-r2-0115,-
fd-exchange-v3-setA-r2-0116,-
fd-exchange-v3-setA-r2-0117,-
fd-exchange-v3-setA-r2-0118,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0119,-
fd-exchange-v3-setA-r2-0120,-
fd-exchange-v3-setA-r2-0121,AUTHENTIC
fd-exchange-v3-setA-r2-0122,-
fd-exchange-v3-setA-r2-0123,-
fd-exchange-v3-setA-r2-0124,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0125,AUTHENTIC
fd-exchange-v3-setA-r2-0126,-
fd-exchange-v3-setA-r2-0127,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0128,AUTHENTIC
fd-exchange-v3-setA-r2-0129,-
fd-exchange-v3-setA-r2-0130,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0131,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0132,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0133,-
fd-exchange-v3-setA-r2-0134,-
fd-exchange-v3-setA-r2-0135,AUTHENTIC
fd-exchange-v3-setA-r2-0136,-
fd-exchange-v3-setA-r2-0137,-
fd-exchange-v3-setA-r2-0138,AUTHENTIC
fd-exchange-v3-setA-r2-0139,-
fd-exchange-v3-setA-r2-0140,AUTHENTIC
fd-exchange-v3-setA-r2-0141,AUTHENTIC
fd-exchange-v3-setA-r2-0142,AUTHENTIC
fd-exchange-v3-setA-r2-0143,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0144,-
fd-exchange-v3-setA-r2-0145,-
fd-exchange-v3-setA-r2-0146,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0147,-
fd-exchange-v3-setA-r2-0148,AUTHENTIC
fd-exchange-v3-setA-r2-0149,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0150,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0151,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0152,-
fd-exchange-v3-setA-r2-0153,-
fd-exchange-v3-setA-r2-0154,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0155,-
fd-exchange-v3-setA-r2-0156,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0157,-
fd-exchange-v3-setA-r2-0158,-
fd-exchange-v3-setA-r2-0159,AUTHENTIC
fd-exchange-v3-setA-r2-0160,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0161,-
fd-exchange-v3-setA-r2-0162,-
fd-exchange-v3-setA-r2-0163,-
fd-exchange-v3-setA-r2-0164,-
fd-exchange-v3-setA-r2-0165,-
fd-exchange-v3-setA-r2-0166,-
fd-exchange-v3-setA-r2-0167,-
fd-exchange-v3-setA-r2-0168,-
fd-exchange-v3-setA-r2-0169,-
fd-exchange-v3-setA-r2-0170,AUTHENTIC
fd-exchange-v3-setA-r2-0171,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0172,-
fd-exchange-v3-setA-r2-0173,-
fd-exchange-v3-setA-r2-0174,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0175,AUTHENTIC
fd-exchange-v3-setA-r2-0176,-
fd-exchange-v3-setA-r2-0177,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0178,-
fd-exchange-v3-setA-r2-0179,-
fd-exchange-v3-setA-r2-0180,AUTHENTIC
fd-exchange-v3-setA-r2-0181,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0182,-
fd-exchange-v3-setA-r2-0183,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0184,-
fd-exchange-v3-setA-r2-0185,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0186,-
fd-exchange-v3-setA-r2-0187,-
fd-exchange-v3-setA-r2-0188,-
fd-exchange-v3-setA-r2-0189,-
fd-exchange-v3-setA-r2-0190,-
fd-exchange-v3-setA-r2-0191,AUTHENTIC
fd-exchange-v3-setA-r2-0192,-
fd-exchange-v3-setA-r2-0193,-
fd-exchange-v3-setA-r2-0194,-
fd-exchange-v3-setA-r2-0195,-
fd-exchange-v3-setA-r2-0196,-
fd-exchange-v3-setA-r2-0197,AUTHENTIC
fd-exchange-v3-setA-r2-0198,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0199,-
fd-exchange-v3-setA-r2-0200,-
fd-exchange-v3-setA-r2-0201,-
fd-exchange-v3-setA-r2-0202,AUTHENTIC
fd-exchange-v3-setA-r2-0203,AUTHENTIC
fd-exchange-v3-setA-r2-0204,-
fd-exchange-v3-setA-r2-0205,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0206,-
fd-exchange-v3-setA-r2-0207,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0208,AUTHENTIC
fd-exchange-v3-setA-r2-0209,AUTHENTIC
fd-exchange-v3-setA-r2-0210,-
fd-exchange-v3-setA-r2-0211,AUTHENTIC
fd-exchange-v3-setA-r2-0212,-
fd-exchange-v3-setA-r2-0213,AUTHENTIC
fd-exchange-v3-setA-r2-0214,-
fd-exchange-v3-setA-r2-0215,-
fd-exchange-v3-setA-r2-0216,AUTHENTIC
fd-exchange-v3-setA-r2-0217,-
fd-exchange-v3-setA-r2-0218,-
fd-exchange-v3-setA-r2-0219,-
fd-exchange-v3-setA-r2-0220,-
fd-exchange-v3-setA-r2-0221,-
fd-exchange-v3-setA-r2-0222,-
fd-exchange-v3-setA-r2-0223,AUTHENTIC
fd-exchange-v3-setA-r2-0224,AUTHENTIC
fd-exchange-v3-setA-r2-0225,-
fd-exchange-v3-setA-r2-0226,-
fd-exchange-v3-setA-r2-0227,-
fd-exchange-v3-setA-r2-0228,AUTHENTIC
fd-exchange-v3-setA-r2-0229,-
fd-exchange-v3-setA-r2-0230,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0231,-
fd-exchange-v3-setA-r2-0232,AUTHENTIC
fd-exchange-v3-setA-r2-0233,-
fd-exchange-v3-setA-r2-0234,AUTHENTIC
fd-exchange-v3-setA-r2-0235,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0236,-
fd-exchange-v3-setA-r2-0237,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0238,-
fd-exchange-v3-setA-r2-0239,-
fd-exchange-v3-setA-r2-0240,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0241,AUTHENTIC
fd-exchange-v3-setA-r2-0242,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0243,FAKE_CERTAIN
fd-exchange-v3-setA-r2-0244,-
fd-exchange-v3-setA-r2-0245,-
fd-exchange-v3-setA-r2-0246,AUTHENTIC
