arm,file,ratio,offset,hypothesis
aacmf_256,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,3.4048,0,kbd
aacmf_256,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,3.0857,0,kbd
aacmf_256,002-03-Hraach-Let-it-go.flac,1.2317,953,kbd
aacmf_256,003-01-Thor-Dari-lullaby.flac,1.2614,680,kbd
aacmf_256,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,5.5176,0,kbd
aacmf_256,005-17-Los-Seven-Del-Swing-Celoso.flac,1.3711,519,kbd
aacmf_256,006-09-Mahmoud-Ahmed-Tezeta.flac,4.5939,0,kbd
aacmf_256,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,2.3012,0,kbd
aacmf_256,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,2.9581,0,kbd
aacmf_256,009-03-Ilya-Beshevli-To-solitude.flac,4.0787,0,kbd
aacmf_256,010-06-Jon-Hassell-These-times.flac,5.6416,0,kbd
aacmf_256,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1.1905,423,kbd
aacmf_256,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.2143,971,vorbis
aacmf_256,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,7.2335,0,kbd
aacmf_256,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,2.5802,0,kbd
aacmf_256,015-08-Jos-Gonz-lez-Vissel.flac,5.4904,0,kbd
aacmf_256,016-03-Memory-Tapes-Green-knight.flac,1.2169,956,vorbis
aacmf_256,017-13-Cafe-Del-Mar-Submariner.flac,2.8214,0,kbd
aacmf_256,018-04-Bag-o-wire-Resovoir.flac,2.4938,0,kbd
aacmf_256,019-04-Kohi-Jadu.flac,8.1910,0,kbd
aacmf_256,020-06-Bola-Tigantabame.flac,1.2686,966,vorbis
aacmf_256,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.2795,807,kbd
aacmf_256,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,1.2273,61,kbd
aacmf_256,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.2283,817,vorbis
aacmf_256,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.2291,684,vorbis
aacmf_256,025-07-Bolalar-Lola.flac,1.2048,568,kbd
aacmf_256,026-06-Oumou-Dioubat-Siyala.flac,1.2941,524,kbd
aacmf_256,027-01-Dimlite-Kitty-Cradle-Fog.flac,1.7333,0,kbd
aacmf_256,028-04-Lisu-Yue-phue-alcool-de-ma-s.flac,1.2048,397,kbd
aacmf_256,029-05-Kuusow-Kurtunwaarey-Amin-Xaaji-Cusmaan-Cabdul.flac,1.3018,751,kbd
aacmf_256,030-06-S-bastien-Tellier-Benny.flac,2.5412,0,kbd
aacmf_256,031-07-Shkoon-Just-Emma-Id.flac,1.2771,32,vorbis
aacmf_256,032-05-2kilos-more-Cache-feu.flac,1.9383,0,vorbis
aacmf_256,033-01-Daylight-Rising.flac,2.9133,0,kbd
aacmf_256,034-09-Snow-Ghosts-Bowline.flac,2.0930,0,kbd
aacmf_256,035-16-Slow-Air-In-Dropped-D.flac,1.2556,966,vorbis
aacmf_256,036-08-Nicolas-Comment-Amaurose.flac,2.7160,0,kbd
aacmf_256,037-02-Super-Cayor-De-Dakar-Emboutaieillage.flac,1.2805,26,kbd
aacmf_256,038-11-Red-Hot-Chili-Peppers-This-velvet-glove.flac,3.0357,0,kbd
aacmf_256,039-13-Kat-Onoma-Change-blues.flac,1.2791,632,kbd
aacmf_256,040-11-Xploding-Plastix-Far-flung-tonic.flac,3.0575,0,kbd
aacmf_256,041-07-Mondkopf-Summer-afternoon-on-the-carribean-se.flac,1.2941,117,vorbis
aacmf_256,042-04-Keletigui-et-ses-Tambourinis-Nadia.flac,1.3412,424,vorbis
aacmf_256,043-03-Massive-Attack-Inertia-Creeps-Manic-Street-Pr.flac,3.8323,0,kbd
aacmf_256,044-02-Various-Artists-Ka-mea-mea.flac,5.5059,0,kbd
aacmf_256,045-08-DJ-Katapila-Trotro-instrumental.flac,1.3614,443,vorbis
aacmf_256,046-04-Clelia-Felix-Shine-so-bright.flac,4.6628,0,kbd
aacmf_256,047-03-Lemma-Souad-Asla-Maachouk-Nbi.flac,1.3214,209,vorbis
genuine,000-03-Balla-et-ses-Balladins-Moi-ca-ma-fout.flac,1.2195,966,kbd
genuine,001-11-Gilbert-B-caud-Le-bain-de-minuit.flac,1.2143,172,vorbis
genuine,002-03-Hraach-Let-it-go.flac,1.4096,373,kbd
genuine,003-01-Thor-Dari-lullaby.flac,1.3372,661,kbd
genuine,004-01-Thiossane-Ablaye-Ndiaye-Aminata-ndiaye.flac,1.2857,964,vorbis
genuine,005-17-Los-Seven-Del-Swing-Celoso.flac,1.3902,1007,vorbis
genuine,006-09-Mahmoud-Ahmed-Tezeta.flac,1.1807,445,vorbis
genuine,007-07-Wax-Tailor-Positively-inclined-featuring-main.flac,1.2439,324,vorbis
genuine,008-06-The-Mebusas-Mr-bull-dog-original-45-version.flac,1.3333,928,vorbis
genuine,009-03-Ilya-Beshevli-To-solitude.flac,1.3136,162,kbd
genuine,010-06-Jon-Hassell-These-times.flac,1.3049,803,kbd
genuine,011-07-Ensemble-National-des-Percussions-de-Guin-e-K.flac,1.2048,852,vorbis
genuine,012-07-A-La-Carte-Brass-And-Percussion-Papa-was-a-ro.flac,1.2716,600,kbd
genuine,013-22-Roswell-Sacred-Harp-Quartet-Weeping-mary.flac,1.2500,979,vorbis
genuine,014-26-Dock-Walsh-Bathe-in-that-beautiful-pool.flac,1.2805,149,vorbis
genuine,015-08-Jos-Gonz-lez-Vissel.flac,1.2073,554,kbd
genuine,016-03-Memory-Tapes-Green-knight.flac,1.2099,571,kbd
genuine,017-13-Cafe-Del-Mar-Submariner.flac,1.3095,762,kbd
genuine,018-04-Bag-o-wire-Resovoir.flac,1.2750,227,vorbis
genuine,019-04-Kohi-Jadu.flac,1.3576,524,vorbis
genuine,020-06-Bola-Tigantabame.flac,1.2697,788,kbd
genuine,021-13-Colombiafrica-The-Mystic-Orchestra-Rey-de-roc.flac,1.3133,975,kbd
genuine,022-17-Michel-Legrand-It-s-good-to-be-alive-the-chas.flac,1.2143,192,vorbis
genuine,023-01-Yusef-Lateef-Buddy-and-lou.flac,1.2644,444,kbd
genuine,024-15-Jordi-Savall-Concert-li-la-rougeville-gigue.flac,1.1954,247,vorbis
genuine,025-07-Bolalar-Lola.flac,1.2289,566,kbd
