file,verdict,score,confidence,hires_verdict,evidence_families,engine_version,engine_sha
fd-exchange-v3-setA-0001.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0002.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0003.flac,SUSPICIOUS,72,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0004.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0005.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0006.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0007.flac,WARNING,50,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0008.flac,FAKE_CERTAIN,115,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct+spectral+stereo,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0009.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0010.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0011.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0012.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0013.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0014.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0015.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0016.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct+stereo,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0017.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0018.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0019.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0020.flac,WARNING,45,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn+spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0021.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0022.flac,AUTHENTIC,26,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0023.flac,AUTHENTIC,29,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0024.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0025.flac,FAKE_CERTAIN,62,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,spectral+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0026.flac,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn+mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0027.flac,AUTHENTIC,23,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0028.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0029.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0030.flac,FAKE_CERTAIN,62,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,spectral+stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0031.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0032.flac,AUTHENTIC,22,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0033.flac,FAKE_CERTAIN,89,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn+spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0034.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0035.flac,AUTHENTIC,12,✅ Authentic file,NOT_HIRES,stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0036.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0037.flac,FAKE_CERTAIN,96,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn+spectral+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0038.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0039.flac,AUTHENTIC,22,✅ Authentic file,NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0040.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0041.flac,SUSPICIOUS,72,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,spectral,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0042.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn+mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0043.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0044.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0045.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0046.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0047.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0048.flac,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0049.flac,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0050.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0051.flac,FAKE_CERTAIN,55,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,mdct+stereo,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
fd-exchange-v3-setA-0052.flac,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo+temporal,1.13.2,ae87cbe8e1ca92df7a4346253db092a0adff53eb
