file,verdict,score,confidence,hires_verdict,evidence_families,engine_version,engine_sha
b001.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b002.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b003.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b004.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b005.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b006.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo|temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b007.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b008.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo|temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b009.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b010.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b011.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b012.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b013.wav,FAKE_CERTAIN,79,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b014.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b015.wav,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b016.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b017.wav,FAKE_CERTAIN,80,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo|temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b018.wav,WARNING,50,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b019.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b020.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b021.wav,SUSPICIOUS,74,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b022.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b023.wav,FAKE_CERTAIN,86,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b024.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b025.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b026.wav,WARNING,52,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,spectral|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b027.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b028.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b029.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b030.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b031.wav,FAKE_CERTAIN,85,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|mdct|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b032.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b033.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b034.wav,FAKE_CERTAIN,80,❌ Transcoding confirmed — corroborated by independent evidence,NOT_HIRES,cnn|spectral|stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b035.wav,WARNING,31,"⚡ Anomalies detected, may be legitimate",NOT_HIRES,cnn|temporal,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b036.wav,SUSPICIOUS,55,"⚠️  Probable transcoding, manual check recommended",NOT_HIRES,mdct,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b037.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
b038.wav,AUTHENTIC,0,✅ Authentic file,NOT_HIRES,stereo,1.13.6,55c4aeb848f89eeda008e18fd627b1a012c0aec5
